"term_id"	"term_name"	"adjusted_p_value"	"Intersection_size"	"Genes"	"stage"
"GO:0048513"	"animal organ development"	3.38795043992266e-33	26	"ENSACLG00000020255,ENSACLG00000009594,ENSACLG00000008961,ENSACLG00000002345,ENSACLG00000020717,ENSACLG00000012029,ENSACLG00000003503,ENSACLG00000011036,ENSACLG00000017825,ENSACLG00000000589,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000022562,ENSACLG00000013295,ENSACLG00000000385,ENSACLG00000013880,ENSACLG00000020738,ENSACLG00000000624,ENSACLG00000022210,ENSACLG00000024963,ENSACLG00000026171,ENSACLG00000014846,ENSACLG00000001872,ENSACLG00000013961,ENSACLG00000012153,ENSACLG00000022006"	"7dpf"
"GO:0048646"	"anatomical structure formation involved in morphogenesis"	2.39121512189978e-11	12	"ENSACLG00000002345,ENSACLG00000020717,ENSACLG00000003503,ENSACLG00000020960,ENSACLG00000011036,ENSACLG00000017825,ENSACLG00000023399,ENSACLG00000013295,ENSACLG00000013440,ENSACLG00000024963,ENSACLG00000026171,ENSACLG00000012153"	"7dpf"
"GO:0048666"	"neuron development"	2.49645300258021e-12	10	"ENSACLG00000020255,ENSACLG00000003960,ENSACLG00000022202,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000018790,ENSACLG00000013295,ENSACLG00000013961,ENSACLG00000012153,ENSACLG00000027041"	"7dpf"
"GO:0048699"	"generation of neurons"	1.22641510321916e-14	12	"ENSACLG00000020255,ENSACLG00000003960,ENSACLG00000022202,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000018790,ENSACLG00000002267,ENSACLG00000013295,ENSACLG00000013961,ENSACLG00000016270,ENSACLG00000012153,ENSACLG00000027041"	"7dpf"
"GO:0048731"	"system development"	7.91026577568995e-40	29	"ENSACLG00000020255,ENSACLG00000009594,ENSACLG00000008961,ENSACLG00000002345,ENSACLG00000003960,ENSACLG00000020717,ENSACLG00000012029,ENSACLG00000003503,ENSACLG00000020960,ENSACLG00000023399,ENSACLG00000022202,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000018790,ENSACLG00000022562,ENSACLG00000002267,ENSACLG00000013295,ENSACLG00000000385,ENSACLG00000013440,ENSACLG00000013880,ENSACLG00000020738,ENSACLG00000022210,ENSACLG00000024963,ENSACLG00000014846,ENSACLG00000013961,ENSACLG00000016270,ENSACLG00000012153,ENSACLG00000011861,ENSACLG00000027041"	"7dpf"
"GO:0048856"	"anatomical structure development"	2.89806446584277e-57	36	"ENSACLG00000020255,ENSACLG00000009594,ENSACLG00000008961,ENSACLG00000002345,ENSACLG00000003960,ENSACLG00000020717,ENSACLG00000012029,ENSACLG00000003503,ENSACLG00000020960,ENSACLG00000011036,ENSACLG00000017825,ENSACLG00000023399,ENSACLG00000000589,ENSACLG00000022202,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000018790,ENSACLG00000022562,ENSACLG00000002267,ENSACLG00000013295,ENSACLG00000000385,ENSACLG00000013440,ENSACLG00000013880,ENSACLG00000020738,ENSACLG00000000624,ENSACLG00000022210,ENSACLG00000024963,ENSACLG00000026171,ENSACLG00000014846,ENSACLG00000001872,ENSACLG00000013961,ENSACLG00000016270,ENSACLG00000012153,ENSACLG00000011861,ENSACLG00000027041,ENSACLG00000022006"	"7dpf"
"GO:0048869"	"cellular developmental process"	8.7873661948094e-30	23	"ENSACLG00000020255,ENSACLG00000002345,ENSACLG00000003960,ENSACLG00000020717,ENSACLG00000011036,ENSACLG00000017825,ENSACLG00000022202,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000018790,ENSACLG00000002267,ENSACLG00000013295,ENSACLG00000000385,ENSACLG00000013440,ENSACLG00000013880,ENSACLG00000026171,ENSACLG00000015371,ENSACLG00000001872,ENSACLG00000013961,ENSACLG00000016270,ENSACLG00000012153,ENSACLG00000027041,ENSACLG00000022006"	"7dpf"
"GO:0051179"	"localization"	9.86364976393739e-19	10	"ENSACLG00000009697,ENSACLG00000008238,ENSACLG00000020960,ENSACLG00000017825,ENSACLG00000021317,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000013880,ENSACLG00000020738,ENSACLG00000025753"	"7dpf"
"GO:0051234"	"establishment of localization"	1.09877648969256e-18	10	"ENSACLG00000009697,ENSACLG00000008238,ENSACLG00000020960,ENSACLG00000017825,ENSACLG00000021317,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000013880,ENSACLG00000020738,ENSACLG00000025753"	"7dpf"
"GO:0060537"	"muscle tissue development"	0.00330090323503906	10	"ENSACLG00000002345,ENSACLG00000011036,ENSACLG00000017825,ENSACLG00000000589,ENSACLG00000000385,ENSACLG00000000624,ENSACLG00000026171,ENSACLG00000001872,ENSACLG00000013961,ENSACLG00000022006"	"7dpf"
"GO:0061061"	"muscle structure development"	0.000108849459375138	11	"ENSACLG00000009594,ENSACLG00000002345,ENSACLG00000011036,ENSACLG00000017825,ENSACLG00000000589,ENSACLG00000000385,ENSACLG00000000624,ENSACLG00000026171,ENSACLG00000001872,ENSACLG00000013961,ENSACLG00000022006"	"7dpf"
"GO:0065007"	"biological regulation"	0.0475858752590402	32	"ENSACLG00000020255,ENSACLG00000009594,ENSACLG00000019877,ENSACLG00000008961,ENSACLG00000009697,ENSACLG00000002345,ENSACLG00000020717,ENSACLG00000020892,ENSACLG00000011036,ENSACLG00000017825,ENSACLG00000023399,ENSACLG00000021317,ENSACLG00000005391,ENSACLG00000018790,ENSACLG00000022562,ENSACLG00000013295,ENSACLG00000013440,ENSACLG00000013880,ENSACLG00000022210,ENSACLG00000024963,ENSACLG00000025753,ENSACLG00000026171,ENSACLG00000014846,ENSACLG00000015371,ENSACLG00000001872,ENSACLG00000021519,ENSACLG00000013961,ENSACLG00000012153,ENSACLG00000011861,ENSACLG00000027041,ENSACLG00000026638,ENSACLG00000008156"	"7dpf"
"GO:0071840"	"cellular component organization or biogenesis"	0.0012991455197758	15	"ENSACLG00000020255,ENSACLG00000012229,ENSACLG00000002345,ENSACLG00000011036,ENSACLG00000017825,ENSACLG00000022202,ENSACLG00000005391,ENSACLG00000018790,ENSACLG00000013295,ENSACLG00000000624,ENSACLG00000026171,ENSACLG00000001872,ENSACLG00000013961,ENSACLG00000012153,ENSACLG00000027041"	"7dpf"
