"term_name"	"stage"
"transporter activity"	"12dpf"
"transmembrane transporter activity"	"12dpf"
"inorganic molecular entity transmembrane transporter activity"	"12dpf"
"monoatomic cation transmembrane transporter activity"	"12dpf"
"monoatomic ion channel activity"	"12dpf"
"channel activity"	"12dpf"
"passive transmembrane transporter activity"	"12dpf"
"nucleoside-triphosphatase regulator activity"	"12dpf"
"GTPase regulator activity"	"12dpf"
"inorganic cation transmembrane transporter activity"	"12dpf"
"ATP-dependent activity"	"12dpf"
"metal ion transmembrane transporter activity"	"12dpf"
"gated channel activity"	"12dpf"
"cytoskeletal protein binding"	"12dpf"
"transferase activity, transferring phosphorus-containing groups"	"12dpf"
"heterocyclic compound binding"	"12dpf"
"protein binding"	"12dpf"
"anion binding"	"12dpf"
"transcription regulator activity"	"12dpf"
"guanyl-nucleotide exchange factor activity"	"12dpf"
"molecular adaptor activity"	"12dpf"
"protein-macromolecule adaptor activity"	"12dpf"
"enzyme regulator activity"	"12dpf"
"nucleoside phosphate binding"	"12dpf"
"kinase activity"	"12dpf"
"nucleotide binding"	"12dpf"
"catalytic activity"	"12dpf"
"carbohydrate derivative binding"	"12dpf"
"monoatomic cation channel activity"	"12dpf"
"ATP hydrolysis activity"	"12dpf"
"catalytic activity, acting on a protein"	"12dpf"
"actin binding"	"12dpf"
"inorganic anion transmembrane transporter activity"	"12dpf"
"lipid binding"	"12dpf"
"monoatomic anion transmembrane transporter activity"	"12dpf"
"purine nucleotide binding"	"12dpf"
"phosphoric ester hydrolase activity"	"12dpf"
"phosphotransferase activity, alcohol group as acceptor"	"12dpf"
"enzyme activator activity"	"12dpf"
"ribonucleotide binding"	"12dpf"
"molecular function regulator activity"	"12dpf"
"active transmembrane transporter activity"	"12dpf"
"purine ribonucleotide binding"	"12dpf"
"purine ribonucleoside triphosphate binding"	"12dpf"
"phospholipid binding"	"12dpf"
"protein tyrosine kinase activity"	"12dpf"
"enzyme binding"	"12dpf"
"DNA-binding transcription factor activity"	"12dpf"
"active monoatomic ion transmembrane transporter activity"	"12dpf"
"voltage-gated channel activity"	"12dpf"
"acyltransferase activity, transferring groups other than amino-acyl groups"	"12dpf"
"transferase activity"	"12dpf"
"ribonucleoside triphosphate phosphatase activity"	"12dpf"
"ligand-gated channel activity"	"12dpf"
"voltage-gated monoatomic ion channel activity"	"12dpf"
"ligand-gated monoatomic ion channel activity"	"12dpf"
"ligase activity"	"12dpf"
"GTPase activator activity"	"12dpf"
"pyrophosphatase activity"	"12dpf"
"hydrolase activity, acting on acid anhydrides"	"12dpf"
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	"12dpf"
"chloride transmembrane transporter activity"	"12dpf"
"transcription coregulator activity"	"12dpf"
"transmembrane receptor protein kinase activity"	"12dpf"
"protein kinase activity"	"12dpf"
"potassium ion transmembrane transporter activity"	"12dpf"
"voltage-gated monoatomic cation channel activity"	"12dpf"
"secondary active transmembrane transporter activity"	"12dpf"
"catalytic activity, acting on a nucleic acid"	"12dpf"
"phosphatase activity"	"12dpf"
"extracellular ligand-gated monoatomic ion channel activity"	"12dpf"
"histone modifying activity"	"12dpf"
"catalytic activity, acting on RNA"	"12dpf"
"developmental process"	"12dpf"
"anatomical structure development"	"12dpf"
"multicellular organism development"	"12dpf"
"system development"	"12dpf"
"anatomical structure morphogenesis"	"12dpf"
"multicellular organismal process"	"12dpf"
"animal organ development"	"12dpf"
"cellular developmental process"	"12dpf"
"cell differentiation"	"12dpf"
"cell development"	"12dpf"
"tissue development"	"12dpf"
"nervous system development"	"12dpf"
"embryo development"	"12dpf"
"anatomical structure formation involved in morphogenesis"	"12dpf"
"transport"	"12dpf"
"establishment of localization"	"12dpf"
"localization"	"12dpf"
"circulatory system development"	"12dpf"
"neurogenesis"	"12dpf"
"embryonic morphogenesis"	"12dpf"
"animal organ morphogenesis"	"12dpf"
"generation of neurons"	"12dpf"
"neuron differentiation"	"12dpf"
"tube development"	"12dpf"
"epithelium development"	"12dpf"
"positive regulation of cellular process"	"12dpf"
"plasma membrane bounded cell projection organization"	"12dpf"
"neuron development"	"12dpf"
"regulation of developmental process"	"12dpf"
"DNA-templated transcription"	"12dpf"
"monoatomic ion transmembrane transport"	"12dpf"
"regulation of nucleobase-containing compound metabolic process"	"12dpf"
"regulation of primary metabolic process"	"12dpf"
"cell projection organization"	"12dpf"
"regulation of RNA metabolic process"	"12dpf"
"tube morphogenesis"	"12dpf"
"embryonic organ development"	"12dpf"
"transmembrane transport"	"12dpf"
"monoatomic ion transport"	"12dpf"
"phosphate-containing compound metabolic process"	"12dpf"
"phosphorus metabolic process"	"12dpf"
"tissue morphogenesis"	"12dpf"
"regulation of multicellular organismal process"	"12dpf"
"sensory organ development"	"12dpf"
"regulation of RNA biosynthetic process"	"12dpf"
"regulation of DNA-templated transcription"	"12dpf"
"vasculature development"	"12dpf"
"sensory system development"	"12dpf"
"organelle organization"	"12dpf"
"regulation of cell communication"	"12dpf"
"pattern specification process"	"12dpf"
"regulation of signaling"	"12dpf"
"embryo development ending in birth or egg hatching"	"12dpf"
"regulation of signal transduction"	"12dpf"
"chordate embryonic development"	"12dpf"
"muscle structure development"	"12dpf"
"regionalization"	"12dpf"
"neuron projection development"	"12dpf"
"morphogenesis of an epithelium"	"12dpf"
"hemopoiesis"	"12dpf"
"embryonic organ morphogenesis"	"12dpf"
"heart development"	"12dpf"
"cell morphogenesis"	"12dpf"
"homeostatic process"	"12dpf"
"phosphorylation"	"12dpf"
"blood vessel morphogenesis"	"12dpf"
"skeletal system development"	"12dpf"
"cell surface receptor signaling pathway"	"12dpf"
"blood vessel development"	"12dpf"
"organelle assembly"	"12dpf"
"central nervous system development"	"12dpf"
"inorganic ion transmembrane transport"	"12dpf"
"vesicle-mediated transport"	"12dpf"
"intracellular signal transduction"	"12dpf"
"positive regulation of nucleobase-containing compound metabolic process"	"12dpf"
"camera-type eye development"	"12dpf"
"cell morphogenesis involved in neuron differentiation"	"12dpf"
"axon development"	"12dpf"
"sensory organ morphogenesis"	"12dpf"
"biological regulation"	"12dpf"
"positive regulation of RNA metabolic process"	"12dpf"
"retina development in camera-type eye"	"12dpf"
"cell projection morphogenesis"	"12dpf"
"cellular localization"	"12dpf"
"plasma membrane bounded cell projection morphogenesis"	"12dpf"
"neuron projection morphogenesis"	"12dpf"
"visual system development"	"12dpf"
"eye development"	"12dpf"
"behavior"	"12dpf"
"axonogenesis"	"12dpf"
"multicellular organismal-level homeostasis"	"12dpf"
"gastrulation"	"12dpf"
"establishment of localization in cell"	"12dpf"
"regulation of biological quality"	"12dpf"
"angiogenesis"	"12dpf"
"positive regulation of metabolic process"	"12dpf"
"positive regulation of DNA-templated transcription"	"12dpf"
"positive regulation of RNA biosynthetic process"	"12dpf"
"regulation of metabolic process"	"12dpf"
"regulation of biological process"	"12dpf"
"monoatomic cation transmembrane transport"	"12dpf"
"head development"	"12dpf"
"regulation of multicellular organismal development"	"12dpf"
"metal ion transport"	"12dpf"
"positive regulation of macromolecule metabolic process"	"12dpf"
"enzyme-linked receptor protein signaling pathway"	"12dpf"
"positive regulation of biosynthetic process"	"12dpf"
"camera-type eye morphogenesis"	"12dpf"
"cell projection assembly"	"12dpf"
"response to abiotic stimulus"	"12dpf"
"cellular process"	"12dpf"
"positive regulation of macromolecule biosynthetic process"	"12dpf"
"muscle cell differentiation"	"12dpf"
"plasma membrane bounded cell projection assembly"	"12dpf"
"nitrogen compound transport"	"12dpf"
"brain development"	"12dpf"
"growth"	"12dpf"
"intracellular transport"	"12dpf"
"cranial skeletal system development"	"12dpf"
"eye morphogenesis"	"12dpf"
"inorganic anion transport"	"12dpf"
"cilium assembly"	"12dpf"
"monoatomic anion transport"	"12dpf"
"muscle organ development"	"12dpf"
"developmental growth"	"12dpf"
"intracellular signaling cassette"	"12dpf"
"regulation of cellular process"	"12dpf"
"positive regulation of biological process"	"12dpf"
"monoatomic anion transmembrane transport"	"12dpf"
"organophosphate metabolic process"	"12dpf"
"regulation of response to stimulus"	"12dpf"
"regulation of macromolecule metabolic process"	"12dpf"
"inorganic cation transmembrane transport"	"12dpf"
"circulatory system process"	"12dpf"
"gland development"	"12dpf"
"blood circulation"	"12dpf"
"connective tissue development"	"12dpf"
"regulation of biosynthetic process"	"12dpf"
"regulation of cell differentiation"	"12dpf"
"muscle cell development"	"12dpf"
"cilium organization"	"12dpf"
"monoatomic cation transport"	"12dpf"
"calcium ion transport"	"12dpf"
"regulation of intracellular signal transduction"	"12dpf"
"striated muscle cell differentiation"	"12dpf"
"cartilage development"	"12dpf"
"regulation of macromolecule biosynthetic process"	"12dpf"
"catabolic process"	"12dpf"
"skeletal system morphogenesis"	"12dpf"
"anterior/posterior pattern specification"	"12dpf"
"transcription by RNA polymerase II"	"12dpf"
"regulation of gene expression"	"12dpf"
"regulation of transcription by RNA polymerase II"	"12dpf"
"muscle tissue development"	"12dpf"
"striated muscle tissue development"	"12dpf"
"left/right pattern formation"	"12dpf"
"determination of left/right symmetry"	"12dpf"
"phospholipid metabolic process"	"12dpf"
"secretion"	"12dpf"
"convergent extension"	"12dpf"
"embryonic skeletal system development"	"12dpf"
"inorganic anion transmembrane transport"	"12dpf"
"regulation of anatomical structure morphogenesis"	"12dpf"
"carbohydrate metabolic process"	"12dpf"
"cell surface receptor protein tyrosine kinase signaling pathway"	"12dpf"
"protein transport"	"12dpf"
"striated muscle cell development"	"12dpf"
"hepaticobiliary system development"	"12dpf"
"determination of bilateral symmetry"	"12dpf"
"specification of symmetry"	"12dpf"
"macromolecule localization"	"12dpf"
"purine nucleotide metabolic process"	"12dpf"
"cellular macromolecule localization"	"12dpf"
"retina morphogenesis in camera-type eye"	"12dpf"
"liver development"	"12dpf"
"protein localization"	"12dpf"
"lateral line system development"	"12dpf"
"ribose phosphate metabolic process"	"12dpf"
"embryonic skeletal system morphogenesis"	"12dpf"
"embryonic cranial skeleton morphogenesis"	"12dpf"
"stem cell differentiation"	"12dpf"
"homeostasis of number of cells"	"12dpf"
"ribonucleotide metabolic process"	"12dpf"
"purine-containing compound metabolic process"	"12dpf"
"heart morphogenesis"	"12dpf"
"axon guidance"	"12dpf"
"renal system development"	"12dpf"
"neuron projection guidance"	"12dpf"
"locomotory behavior"	"12dpf"
"skeletal muscle organ development"	"12dpf"
"secretion by cell"	"12dpf"
"epithelial cell differentiation"	"12dpf"
"pancreas development"	"12dpf"
"chloride transport"	"12dpf"
"kidney development"	"12dpf"
"digestive system development"	"12dpf"
"carbohydrate derivative catabolic process"	"12dpf"
"cell migration"	"12dpf"
"chloride transmembrane transport"	"12dpf"
"establishment of protein localization"	"12dpf"
"cytoplasm"	"12dpf"
"cell junction"	"12dpf"
"synapse"	"12dpf"
"endomembrane system"	"12dpf"
"cytoskeleton"	"12dpf"
"organelle membrane"	"12dpf"
"membrane-bounded organelle"	"12dpf"
"bounding membrane of organelle"	"12dpf"
"cell projection"	"12dpf"
"intracellular membrane-bounded organelle"	"12dpf"
"intracellular vesicle"	"12dpf"
"cytoplasmic vesicle"	"12dpf"
"vesicle"	"12dpf"
"vesicle membrane"	"12dpf"
"cytoplasmic vesicle membrane"	"12dpf"
"cell periphery"	"12dpf"
"plasma membrane bounded cell projection"	"12dpf"
"postsynapse"	"12dpf"
"organelle"	"12dpf"
"catalytic complex"	"12dpf"
"transporter complex"	"12dpf"
"transmembrane transporter complex"	"12dpf"
"plasma membrane"	"12dpf"
"monoatomic ion channel complex"	"12dpf"
"intracellular organelle"	"12dpf"
"intracellular anatomical structure"	"12dpf"
"synaptic membrane"	"12dpf"
"plasma membrane region"	"12dpf"
"postsynaptic membrane"	"12dpf"
"endosome"	"12dpf"
"neuron projection"	"12dpf"
"Golgi apparatus"	"12dpf"
"cellular anatomical structure"	"12dpf"
"supramolecular complex"	"12dpf"
"endosome membrane"	"12dpf"
"vacuole"	"12dpf"
"vacuolar membrane"	"12dpf"
"endoplasmic reticulum"	"12dpf"
"microtubule organizing center"	"12dpf"
"intracellular protein-containing complex"	"12dpf"
"mitochondrion"	"12dpf"
"lysosome"	"12dpf"
"lytic vacuole"	"12dpf"
"presynapse"	"12dpf"
"actin cytoskeleton"	"12dpf"
"centrosome"	"12dpf"
"supramolecular fiber"	"12dpf"
"supramolecular polymer"	"12dpf"
"sarcomere"	"12dpf"
"lytic vacuole membrane"	"12dpf"
"lysosomal membrane"	"12dpf"
"anchoring junction"	"12dpf"
"microtubule cytoskeleton"	"12dpf"
"nuclear outer membrane-endoplasmic reticulum membrane network"	"12dpf"
"endoplasmic reticulum subcompartment"	"12dpf"
"endoplasmic reticulum membrane"	"12dpf"
"transferase complex"	"12dpf"
"organelle subcompartment"	"12dpf"
"transcription regulator complex"	"12dpf"
"Golgi membrane"	"12dpf"
"myofibril"	"12dpf"
"contractile muscle fiber"	"12dpf"
"actin-based cell projection"	"12dpf"
"chloride channel complex"	"12dpf"
